SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL_RAINFALL,JUN-SEP,MAR-MAY,OCT-DEC,JAN-FEB,CLOUD_COVERAGE,FLOODS
SUB HIMALAYAN WEST BENGAL,1915,15.2,38.3,35.3,73.0,219.0,376.7,343.7,409.7,238.3,96.7,33.6,0.0,1879.5,1368.4,327.3,130.3,53.5,76.0,1
SAURASHTRA & KUTCH,1959,2.4,4.5,5.9,4.2,16.4,49.1,176.7,95.8,44.2,34.1,0.0,5.2,438.5,365.8,26.5,39.3,6.9,39.7,0
ARUNACHAL PRADESH,1984,16.2,6.8,62.6,91.2,120.7,184.1,467.9,272.5,156.0,102.3,23.1,10.5,1513.9,1080.5,274.5,135.9,23.0,82.2,1
WEST MADHYA PRADESH,1974,9.3,19.1,4.9,1.0,41.6,117.7,158.8,189.6,100.9,64.0,20.8,13.3,741.0,567.0,47.5,98.1,28.4,66.1,0
VIDARBHA,1905,9.3,16.8,6.0,18.7,52.0,82.6,365.5,398.1,212.1,9.5,18.3,7.5,1196.4,1058.3,76.7,35.3,26.1,77.2,0
CHHATTISGARH,1990,3.3,5.2,13.5,8.4,32.3,143.2,517.0,178.0,125.3,72.7,23.7,21.7,1144.3,963.5,54.2,118.1,8.5,57.0,0
HARYANA DELHI & CHANDIGARH,1932,8.9,8.3,6.2,12.5,8.9,42.1,45.9,90.8,88.9,12.9,1.7,2.3,329.4,267.7,27.6,16.9,17.2,48.1,0
VIDARBHA,1901,5.6,0.3,18.0,23.1,30.1,135.9,152.6,226.3,156.0,35.9,13.4,10.4,807.6,670.8,71.2,59.7,5.9,60.9,0
GUJARAT REGION,1939,0.0,11.8,15.6,49.6,27.1,168.1,276.9,166.5,260.0,82.6,22.9,2.5,1083.6,871.5,92.3,108.0,11.8,60.9,0
WEST MADHYA PRADESH,1970,15.3,8.9,10.6,24.5,59.0,154.9,242.5,328.6,230.3,31.5,9.6,14.6,1130.3,956.3,94.1,55.7,24.2,53.5,0
VIDARBHA,1940,11.7,10.7,11.1,9.4,24.6,183.4,373.9,302.1,275.5,136.2,11.8,6.8,1357.2,1134.9,45.1,154.8,22.4,81.3,0
UTTARAKHAND,1909,84.1,38.1,62.7,42.1,73.0,108.7,302.2,307.2,39.0,63.4,5.1,13.6,1139.2,757.1,177.8,82.1,122.2,65.4,0
WEST RAJASTHAN,1980,4.0,3.5,3.1,2.4,23.7,74.0,140.9,24.5,128.2,16.5,5.6,0.0,426.4,367.6,29.2,22.1,7.5,68.4,0
EAST MADHYA PRADESH,1927,0.0,5.2,28.6,34.1,24.4,180.2,530.6,257.5,179.2,65.7,21.1,5.9,1332.5,1147.5,87.1,92.7,5.2,76.4,1
ORISSA,1993,10.8,11.4,6.5,1.8,23.3,201.4,299.3,160.3,192.1,71.6,6.2,8.9,993.6,853.1,31.6,86.7,22.2,66.8,0
NAGA MANI MIZO TRIPURA,1923,10.5,6.3,47.2,96.8,194.2,405.4,234.7,246.8,326.4,145.7,37.7,40.8,1792.5,1213.3,338.2,224.2,16.8,85.5,1
ANDAMAN & NICOBAR ISLANDS,1908,44.3,27.8,20.3,69.0,222.7,323.9,321.8,379.0,581.5,100.6,221.2,23.6,2335.7,1606.2,312.0,345.4,72.1,65.9,1
COASTAL ANDHRA PRADESH,1915,9.3,7.3,30.6,31.9,63.7,14.6,131.7,144.5,154.5,258.0,301.5,142.1,1289.7,445.3,126.2,701.6,16.6,63.0,0
KERALA,1963,11.4,3.3,4.1,16.3,75.2,457.2,726.3,575.2,288.5,161.6,33.6,8.4,2361.1,2047.2,95.6,203.6,14.7,70.5,1
ANDAMAN & NICOBAR ISLANDS,1916,62.0,22.7,49.8,38.4,308.7,284.8,298.4,341.0,321.9,201.7,147.0,118.4,2194.8,1246.1,396.9,467.1,84.7,78.9,1
NORTH INTERIOR KARNATAKA,1910,4.0,8.0,12.7,10.1,20.7,53.7,178.6,121.3,82.5,33.1,4.7,2.5,531.9,436.1,43.5,40.3,12.0,65.4,0
GUJARAT REGION,1967,11.0,20.5,8.3,9.6,21.8,74.0,289.9,225.6,266.1,21.3,30.5,2.1,980.7,855.6,39.7,53.9,31.5,58.4,0
COASTAL KARNATAKA,1968,0.8,10.3,13.6,23.8,2.4,850.1,1174.1,820.1,238.5,139.1,49.8,0.0,3322.6,3082.8,39.8,188.9,11.1,91.0,1
UTTARAKHAND,1937,79.1,36.7,38.4,55.8,65.8,7.3,53.5,224.6,114.6,34.0,10.9,44.8,765.5,400.0,160.0,89.7,115.8,73.3,0
TELANGANA,1952,19.5,20.5,0.0,14.6,48.1,78.2,349.4,313.4,131.1,59.7,0.0,18.6,1053.1,872.1,62.7,78.3,40.0,76.0,0
GANGETIC WEST BENGAL,1918,10.7,21.0,34.8,115.5,114.7,164.3,210.2,358.7,375.5,131.9,25.2,13.7,1576.2,1108.7,265.0,170.8,31.7,85.2,0
BIHAR,1936,3.7,10.3,18.1,37.7,42.9,140.4,278.3,179.8,178.7,51.3,18.2,3.0,962.4,777.2,98.7,72.5,14.0,70.3,0
HARYANA DELHI & CHANDIGARH,1992,3.7,6.6,7.8,6.0,17.2,50.3,124.9,69.1,60.7,20.0,8.4,4.9,379.6,305.0,31.0,33.3,10.3,51.9,0
ASSAM & MEGHALAYA,1916,12.9,22.5,22.5,73.0,90.6,250.9,254.9,524.8,211.9,76.2,10.1,3.8,1554.1,1242.5,186.1,90.1,35.4,71.2,1
KERALA,1973,8.8,2.7,2.8,32.4,33.8,929.7,1035.9,474.9,128.7,187.7,37.7,19.9,2895.0,2569.2,69.0,245.3,11.5,77.4,1
ANDAMAN & NICOBAR ISLANDS,1921,30.1,20.6,18.2,65.6,193.2,334.3,394.4,426.6,421.2,160.0,88.0,124.7,2276.9,1576.5,277.0,372.7,50.7,68.4,1
RAYALSEEMA,1934,7.8,4.6,8.7,5.2,19.1,83.6,0.0,73.8,77.8,27.1,4.6,3.1,315.4,235.2,33.0,34.8,12.4,55.4,0
KONKAN & GOA,1930,1.5,5.5,12.9,50.8,110.3,581.4,844.0,248.6,396.9,152.3,64.2,8.8,2477.2,2070.9,174.0,225.3,7.0,88.1,1
MADHYA MAHARASHTRA,1988,8.8,8.1,3.5,12.8,2.7,204.9,84.3,422.6,56.5,105.0,5.9,11.4,926.5,768.3,19.0,122.3,16.9,68.2,1
PUNJAB,1967,4.1,9.3,5.3,9.8,21.2,36.8,56.0,47.9,61.5,10.1,0.0,4.0,266.0,202.2,36.3,14.1,13.4,63.2,0
HIMACHAL PRADESH,1990,57.5,71.3,72.9,64.1,71.3,89.0,191.1,270.6,117.2,15.4,38.7,25.3,1084.4,667.9,208.3,79.4,128.8,61.0,0
ORISSA,1902,13.1,4.1,15.3,31.6,15.4,154.8,417.1,63.5,123.3,32.9,13.1,7.7,891.9,758.7,62.3,53.7,17.2,56.4,0
NAGA MANI MIZO TRIPURA,1990,0.0,22.5,33.0,16.7,207.2,169.2,708.8,281.4,316.1,202.3,52.2,25.9,2035.3,1475.5,256.9,280.4,22.5,76.4,1
COASTAL ANDHRA PRADESH,1952,31.1,25.3,1.0,38.4,33.7,30.3,42.2,49.8,101.9,141.8,327.0,117.5,940.0,224.2,73.1,586.3,56.4,50.9,0
ARUNACHAL PRADESH,1984,5.4,29.1,50.0,50.7,145.0,375.1,199.7,409.8,220.4,148.5,18.6,0.0,1652.3,1205.0,245.7,167.1,34.5,74.5,1
GUJARAT REGION,1947,13.9,18.1,15.1,9.5,27.0,178.6,124.3,359.3,324.7,1.7,1.0,9.4,1082.6,986.9,51.6,12.1,32.0,70.4,0
MADHYA MAHARASHTRA,1965,7.6,3.8,27.9,25.6,21.6,240.3,234.2,160.7,192.8,70.6,20.3,12.2,1017.6,828.0,75.1,103.1,11.4,72.8,0
WEST RAJASTHAN,1985,2.3,2.3,8.0,9.2,23.2,7.3,95.0,176.3,76.6,18.0,6.1,7.4,431.7,355.2,40.4,31.5,4.6,52.3,0
VIDARBHA,1925,0.7,0.0,7.5,20.7,33.6,58.2,111.9,198.8,244.1,92.7,32.1,7.8,808.1,613.0,61.8,132.6,0.7,62.5,0
SUB HIMALAYAN WEST BENGAL,1938,16.6,32.1,30.1,91.6,172.9,209.1,597.1,345.7,287.8,72.6,18.3,0.0,1873.9,1439.7,294.6,90.9,48.7,81.0,1
JAMMU & KASHMIR,1929,34.5,159.3,95.4,30.5,50.7,113.2,386.5,266.2,220.9,47.2,13.9,34.9,1453.2,986.8,176.6,96.0,193.8,62.8,0
NORTH INTERIOR KARNATAKA,1947,6.4,0.0,3.9,5.8,21.4,89.1,180.2,126.9,41.1,13.2,3.0,2.1,493.1,437.3,31.1,18.3,6.4,45.1,0
WEST UTTAR PRADESH,1954,5.2,19.6,4.5,11.2,6.2,234.9,208.3,312.9,213.3,99.6,12.9,2.3,1130.9,969.4,21.9,114.8,24.8,76.6,0
ARUNACHAL PRADESH,1907,20.2,10.2,9.9,72.2,83.7,285.1,399.2,204.9,352.4,112.1,46.2,0.0,1596.1,1241.6,165.8,158.3,30.4,77.3,1
SOUTH INTERIOR KARNATAKA,2014,1.9,16.1,7.0,18.0,30.0,159.5,219.0,271.9,125.2,80.2,13.9,8.9,951.6,775.6,55.0,103.0,18.0,53.4,0
SUB HIMALAYAN WEST BENGAL,1930,12.4,34.0,60.8,50.0,261.5,495.0,332.3,0.0,247.9,131.9,21.5,8.2,1655.5,1075.2,372.3,161.6,46.4,81.9,1
EAST UTTAR PRADESH,1974,8.4,19.6,27.2,0.0,18.4,112.6,511.4,271.9,236.9,3.6,16.4,13.9,1240.3,1132.8,45.6,33.9,28.0,74.1,1
WEST RAJASTHAN,1996,4.0,5.2,0.0,3.5,17.3,32.1,154.4,118.7,101.0,24.6,4.7,4.5,470.0,406.2,20.8,33.8,9.2,49.8,0
ARUNACHAL PRADESH,1967,0.0,27.3,14.4,132.6,35.9,469.6,425.3,339.4,231.0,140.0,29.4,18.8,1863.7,1465.3,182.9,188.2,27.3,89.6,1
UTTARAKHAND,1981,117.0,0.0,81.7,61.1,16.0,96.5,169.9,359.8,216.2,63.0,16.2,49.7,1247.1,842.4,158.8,128.9,117.0,77.0,0
WEST MADHYA PRADESH,1917,7.6,0.0,9.4,23.8,23.6,111.2,362.0,186.7,229.8,20.0,42.6,6.7,1023.4,889.7,56.8,69.3,7.6,74.0,0
MATSHYA PRADESH,1992,2.7,10.8,6.5,7.4,12.7,80.2,131.5,117.3,76.2,16.3,5.6,2.8,470.0,405.2,26.6,24.7,13.5,43.8,0
VIDARBHA,1936,0.6,13.2,17.4,22.8,22.8,287.9,165.9,153.7,295.8,38.9,5.6,21.8,1046.4,903.3,63.0,66.3,13.8,51.5,0
TAMIL NADU,2002,0.0,19.2,1.8,26.6,76.6,42.4,84.5,101.7,151.5,274.4,254.6,151.6,1184.9,380.1,105.0,680.6,19.2,66.2,0
JAMMU & KASHMIR,1959,80.5,74.0,71.2,35.7,78.2,116.0,212.8,292.1,65.7,50.0,4.6,49.2,1130.0,686.6,185.1,103.8,154.5,72.4,0
JAMMU & KASHMIR,2013,111.1,84.6,63.6,74.3,75.3,110.2,162.5,64.0,123.7,16.3,41.0,20.2,946.8,460.4,213.2,77.5,195.7,55.8,0
EAST UTTAR PRADESH,1930,0.0,0.0,6.3,29.5,25.5,101.7,189.4,175.9,44.6,23.8,4.3,12.1,613.1,511.6,61.3,40.2,0.0,70.6,0
COASTAL ANDHRA PRADESH,1939,47.7,4.7,26.7,54.3,10.8,41.5,44.5,59.0,122.2,156.4,250.4,111.6,929.8,267.2,91.8,518.4,52.4,76.4,0
EAST RAJASTHAN,1999,5.9,14.8,5.4,0.0,16.7,49.9,115.6,137.8,101.3,21.8,3.6,5.3,478.1,404.6,22.1,30.7,20.7,51.6,0
SOUTH INTERIOR KARNATAKA,1929,9.7,14.7,21.6,44.1,27.3,102.1,155.9,201.5,177.7,113.8,9.8,9.3,887.5,637.2,93.0,132.9,24.4,72.2,0
UTTARAKHAND,1962,90.1,80.3,93.1,17.4,9.0,143.1,269.2,251.4,206.0,48.4,19.1,40.7,1267.8,869.7,119.5,108.2,170.4,78.0,0
PUNJAB,1953,7.0,11.1,2.4,10.4,11.3,29.2,85.5,119.8,72.5,19.0,3.3,3.0,374.5,307.0,24.1,25.3,18.1,46.8,0
SAURASHTRA & KUTCH,2013,1.0,5.6,4.1,8.9,26.9,44.1,60.7,84.0,83.1,21.8,5.6,1.8,347.6,271.9,39.9,29.2,6.6,66.2,0
KERALA,1912,5.5,2.2,19.6,2.2,60.4,667.9,1113.1,539.5,244.5,214.1,11.0,0.0,2880.0,2565.0,82.2,225.1,7.7,69.9,1
SUB HIMALAYAN WEST BENGAL,1929,16.7,14.1,25.5,101.9,161.5,324.3,358.8,520.4,179.5,61.4,44.1,16.9,1825.1,1383.0,288.9,122.4,30.8,68.1,1
PUNJAB,1924,6.9,3.6,7.0,7.9,17.7,44.2,155.4,128.9,73.8,21.1,1.2,3.6,471.3,402.3,32.6,25.9,10.5,40.8,0
ASSAM & MEGHALAYA,1920,9.3,37.3,26.5,134.0,138.0,156.9,415.4,275.1,355.7,87.4,23.3,0.0,1658.9,1203.1,298.5,110.7,46.6,59.7,0
KONKAN & GOA,1994,3.2,0.0,0.0,36.4,107.5,676.6,606.6,542.4,299.6,62.1,70.1,17.0,2421.5,2125.2,143.9,149.2,3.2,81.8,1
UTTARAKHAND,2014,65.2,8.7,53.8,26.4,25.0,105.9,393.8,274.9,115.7,51.5,29.0,43.9,1193.8,890.3,105.2,124.4,73.9,52.6,0
COASTAL ANDHRA PRADESH,1973,20.7,4.8,22.0,35.9,72.4,52.7,91.5,61.3,152.7,213.8,507.5,85.5,1320.8,358.2,130.3,806.8,25.5,69.6,1
HIMACHAL PRADESH,1975,76.3,117.0,52.5,83.3,11.1,172.7,383.7,215.7,138.8,60.9,20.1,0.0,1332.1,910.9,146.9,81.0,193.3,68.8,0
SOUTH INTERIOR KARNATAKA,1974,0.0,8.2,1.6,15.6,25.0,171.1,271.7,300.2,206.8,90.9,23.7,12.6,1127.4,949.8,42.2,127.2,8.2,65.7,0
UTTARAKHAND,2005,102.1,56.2,87.0,39.2,45.7,164.2,302.2,119.7,238.6,67.6,8.7,35.9,1267.1,824.7,171.9,112.2,158.3,74.4,0
TAMIL NADU,1987,3.4,21.6,0.0,35.7,47.3,25.3,54.0,50.3,161.7,326.3,231.4,133.8,1090.8,291.3,83.0,691.5,25.0,69.6,0
PUNJAB,1928,6.4,0.0,9.4,4.5,0.0,43.2,15.2,110.2,52.2,27.3,5.9,0.2,274.5,220.8,13.9,33.4,6.4,57.7,0
MADHYA MAHARASHTRA,1928,6.1,28.6,18.8,25.2,45.5,164.3,256.7,244.3,175.0,58.9,22.3,8.3,1054.0,840.3,89.5,89.5,34.7,50.6,0
WEST RAJASTHAN,1970,4.6,1.4,1.5,16.1,34.7,44.7,123.4,116.0,64.4,0.0,5.3,0.0,412.1,348.5,52.3,5.3,6.0,42.6,0
JHARKHAND,1950,11.7,3.6,8.8,43.0,27.1,163.0,358.3,299.7,190.5,70.9,39.0,7.7,1223.3,1011.5,78.9,117.6,15.3,78.3,0
GUJARAT REGION,1991,9.2,15.6,4.2,28.0,13.7,247.9,210.6,283.7,250.4,52.4,18.4,16.6,1150.7,992.6,45.9,87.4,24.8,73.1,0
BIHAR,1998,0.0,4.5,25.5,26.8,40.8,188.1,396.1,239.1,188.4,29.1,2.2,0.0,1140.6,1011.7,93.1,31.3,4.5,71.7,0
SUB HIMALAYAN WEST BENGAL,1989,18.5,47.0,33.9,79.0,80.6,331.2,552.3,426.8,562.8,121.7,5.5,11.4,2270.7,1873.1,193.5,138.6,65.5,79.3,1
NORTH INTERIOR KARNATAKA,1970,6.6,8.9,10.3,8.4,24.2,46.0,60.7,161.2,57.1,0.9,2.6,2.1,389.0,325.0,42.9,5.6,15.5,56.9,0
SAURASHTRA & KUTCH,1929,4.5,10.6,8.7,0.1,5.1,73.5,70.9,91.0,76.5,5.3,4.3,0.3,350.8,311.9,13.9,9.9,15.1,59.1,0
WEST UTTAR PRADESH,1984,16.4,11.4,9.2,20.8,37.1,158.4,388.6,290.7,160.1,72.0,20.0,0.2,1184.9,997.8,67.1,92.2,27.8,63.9,0
EAST MADHYA PRADESH,1924,0.5,6.5,7.8,30.7,25.6,224.9,219.4,282.3,121.5,124.4,3.1,9.9,1056.6,848.1,64.1,137.4,7.0,71.5,0
WEST MADHYA PRADESH,1933,6.9,11.0,15.4,18.2,44.5,282.6,229.8,150.4,173.8,137.4,7.0,17.8,1094.8,836.6,78.1,162.2,17.9,62.9,0
GANGETIC WEST BENGAL,2003,18.3,13.8,7.0,111.4,148.5,325.2,497.1,205.9,133.2,199.0,8.4,0.2,1668.0,1161.4,266.9,207.6,32.1,78.0,1
HARYANA DELHI & CHANDIGARH,1949,5.5,8.9,5.8,5.0,21.3,11.1,65.2,129.3,19.3,13.1,3.6,1.9,290.0,224.9,32.1,18.6,14.4,47.7,0
WEST RAJASTHAN,1998,0.0,2.5,1.7,8.8,16.1,59.4,86.2,120.9,13.3,0.0,0.0,2.0,310.9,279.8,26.6,2.0,2.5,40.7,0
CHHATTISGARH,1984,8.4,18.2,15.8,34.7,18.8,163.5,232.5,288.9,215.3,77.5,4.3,2.7,1080.6,900.2,69.3,84.5,26.6,60.6,0
MATSHYA PRADESH,1902,4.3,7.8,1.6,0.0,36.6,21.7,161.8,101.3,67.5,15.0,2.8,3.9,424.3,352.3,38.2,21.7,12.1,66.9,0
KONKAN & GOA,1945,8.7,3.8,12.1,29.8,56.6,778.6,765.0,429.1,353.7,75.1,40.6,9.9,2563.0,2326.4,98.5,125.6,12.5,84.2,1
PUNJAB,1966,3.9,8.3,10.6,10.8,15.1,17.2,66.7,87.8,41.7,13.1,4.2,4.1,283.5,213.4,36.5,21.4,12.2,65.7,0
UTTARAKHAND,1992,61.6,10.7,36.5,37.1,19.8,150.0,372.5,315.3,137.2,69.8,16.5,24.9,1251.9,975.0,93.4,111.2,72.3,82.2,0
LAKSHADWEEP,1909,20.8,16.4,19.2,54.3,316.1,350.3,432.4,501.0,445.0,131.2,26.8,112.7,2426.2,1728.7,389.6,270.7,37.2,68.9,1
WEST RAJASTHAN,1907,0.0,15.8,3.4,2.2,12.7,23.8,139.3,154.7,30.2,20.8,0.0,5.1,408.0,348.0,18.3,25.9,15.8,63.8,0
MATSHYA PRADESH,1953,1.0,4.9,0.0,18.3,3.1,49.0,178.4,65.5,0.0,10.6,1.4,0.0,332.2,292.9,21.4,12.0,5.9,61.0,0
HARYANA DELHI & CHANDIGARH,2013,7.4,0.5,0.0,6.0,14.1,73.0,190.5,148.6,68.3,23.0,2.1,3.3,536.8,480.4,20.1,28.4,7.9,56.4,0
LAKSHADWEEP,1969,31.3,40.7,21.6,52.3,323.7,300.0,283.7,512.9,251.9,143.8,220.8,120.5,2303.2,1348.5,397.6,485.1,72.0,70.6,1
CHHATTISGARH,1905,15.1,17.8,25.0,10.9,8.7,240.1,251.0,239.9,273.0,76.7,19.6,21.0,1198.8,1004.0,44.6,117.3,32.9,53.0,0
EAST UTTAR PRADESH,1921,7.6,3.5,14.6,7.8,30.6,199.8,183.4,289.1,122.0,66.1,23.6,0.0,948.1,794.3,53.0,89.7,11.1,59.3,0
NAGA MANI MIZO TRIPURA,1930,11.7,26.1,33.6,79.9,177.3,264.0,436.3,167.5,168.3,150.3,10.6,11.9,1537.5,1036.1,290.8,172.8,37.8,59.0,0
NAGA MANI MIZO TRIPURA,1922,13.2,12.2,29.4,97.6,201.9,302.1,437.1,537.2,301.7,250.1,38.5,0.0,2221.0,1578.1,328.9,288.6,25.4,85.7,1
PUNJAB,2001,3.6,0.1,4.2,3.7,9.2,64.7,203.5,115.8,24.1,19.4,7.6,1.8,457.7,408.1,17.1,28.8,3.7,56.2,0
NAGA MANI MIZO TRIPURA,2006,3.7,27.8,37.6,92.6,95.6,256.3,486.7,309.0,435.4,100.0,33.4,17.5,1895.6,1487.4,225.8,150.9,31.5,75.0,1
MATSHYA PRADESH,1954,0.0,10.1,2.8,20.8,9.4,54.6,197.1,180.2,121.8,27.1,7.1,4.2,635.2,553.7,33.0,38.4,10.1,50.6,0
LAKSHADWEEP,1949,15.1,24.6,41.0,71.2,308.2,493.7,271.5,336.7,262.2,312.6,145.0,74.0,2355.8,1364.1,420.4,531.6,39.7,89.0,1
GANGETIC WEST BENGAL,1957,11.5,26.9,77.2,47.7,122.5,326.2,537.7,316.5,387.9,23.1,11.2,12.8,1901.2,1568.3,247.4,47.1,38.4,74.2,1
ASSAM & MEGHALAYA,1977,15.7,40.1,73.6,102.0,110.8,169.9,232.0,41.3,342.4,114.9,43.6,21.4,1307.7,785.6,286.4,179.9,55.8,55.1,0
WEST RAJASTHAN,1901,3.2,1.0,4.8,12.1,5.5,26.2,66.5,22.5,45.6,22.1,4.5,2.7,216.7,160.8,22.4,29.3,4.2,37.0,0
KONKAN & GOA,2007,5.4,0.5,0.0,9.6,88.6,615.7,940.5,565.5,289.0,89.8,57.7,2.6,2664.9,2410.7,98.2,150.1,5.9,94.4,1
KONKAN & GOA,1969,0.6,7.3,0.0,61.2,82.8,662.6,638.3,499.6,257.3,92.9,52.7,6.4,2361.7,2057.8,144.0,152.0,7.9,81.8,1
KERALA,1924,3.8,5.6,13.0,52.2,77.1,450.8,546.7,540.7,255.2,220.5,75.4,1.7,2242.7,1793.4,142.3,297.6,9.4,81.4,1
ORISSA,2011,16.4,12.5,8.5,19.3,20.6,186.1,216.2,219.2,261.3,36.9,0.5,8.6,1006.1,882.8,48.4,46.0,28.9,74.9,0
NAGA MANI MIZO TRIPURA,1992,22.7,24.6,76.6,140.6,126.6,230.3,308.6,183.2,233.3,180.4,0.0,1.7,1528.6,955.4,343.8,182.1,47.3,60.0,0
CHHATTISGARH,1951,4.8,7.9,12.4,11.2,17.8,206.1,374.5,149.6,0.0,91.9,2.7,9.3,888.2,730.2,41.4,103.9,12.7,65.1,0
ASSAM & MEGHALAYA,1927,7.3,15.2,20.9,92.7,243.1,193.2,402.9,505.3,272.8,142.6,14.1,13.4,1923.5,1374.2,356.7,170.1,22.5,90.2,1
TELANGANA,1959,15.1,32.7,20.8,23.9,32.9,128.8,310.5,236.4,191.8,99.5,4.9,14.8,1112.1,867.5,77.6,119.2,47.8,64.5,0
EAST RAJASTHAN,1985,6.2,2.7,5.3,13.2,10.4,42.5,132.2,81.6,85.7,13.3,1.6,4.2,398.9,342.0,28.9,19.1,8.9,57.0,0
NORTH INTERIOR KARNATAKA,1948,8.7,7.1,6.7,9.9,10.1,57.4,73.8,120.2,86.0,11.2,2.2,0.6,393.9,337.4,26.7,14.0,15.8,40.6,0
HIMACHAL PRADESH,2000,68.8,84.7,75.9,62.2,60.2,107.9,303.8,363.0,142.0,20.5,26.1,28.2,1343.3,916.7,198.3,74.8,153.5,70.6,0
WEST RAJASTHAN,1919,2.4,4.6,6.3,9.0,22.1,39.1,145.7,89.6,82.2,21.2,1.2,5.2,428.6,356.6,37.4,27.6,7.0,64.0,0
LAKSHADWEEP,1947,7.9,16.9,0.0,63.2,374.5,252.5,301.3,386.4,230.2,148.1,254.3,84.0,2119.3,1170.4,437.7,486.4,24.8,73.6,1
